,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
113,10,DE,9,STORAGE & TRANSPORT,CO,1996,NA
114,10,DE,10,WASTE DISPOSAL & RECYCLING,CO,1996,8.73935
115,10,DE,11,HIGHWAY VEHICLES,CO,1996,215.35512
116,10,DE,12,OFF-HIGHWAY,CO,1996,80.26613
117,10,DE,14,MISCELLANEOUS,CO,1996,0.63349
118,10,DE,15,WILDFIRES,CO,1996,NA
119,10,DE,16,PRESCRIBED FIRES,CO,1996,NA
120,11,DC,1,FUEL COMB. ELEC. UTIL.,CO,1996,0.04627
121,11,DC,2,FUEL COMB. INDUSTRIAL,CO,1996,0.00629
122,11,DC,3,FUEL COMB. OTHER,CO,1996,1.85015
123,11,DC,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,NA
124,11,DC,7,OTHER INDUSTRIAL PROCESSES,CO,1996,NA
125,11,DC,8,SOLVENT UTILIZATION,CO,1996,NA
126,11,DC,9,STORAGE & TRANSPORT,CO,1996,NA
127,11,DC,10,WASTE DISPOSAL & RECYCLING,CO,1996,3.382
128,11,DC,11,HIGHWAY VEHICLES,CO,1996,93.03482
129,11,DC,12,OFF-HIGHWAY,CO,1996,15.54005
130,11,DC,14,MISCELLANEOUS,CO,1996,0.04055
131,11,DC,15,WILDFIRES,CO,1996,NA
132,11,DC,16,PRESCRIBED FIRES,CO,1996,NA
133,12,FL,1,FUEL COMB. ELEC. UTIL.,CO,1996,20.94324
134,12,FL,2,FUEL COMB. INDUSTRIAL,CO,1996,35.39113
135,12,FL,3,FUEL COMB. OTHER,CO,1996,76.09794
136,12,FL,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.576
137,12,FL,5,METALS PROCESSING,CO,1996,0.97196
138,12,FL,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.29401
139,12,FL,7,OTHER INDUSTRIAL PROCESSES,CO,1996,16.32815
140,12,FL,8,SOLVENT UTILIZATION,CO,1996,0.00129
141,12,FL,9,STORAGE & TRANSPORT,CO,1996,0.02409
142,12,FL,10,WASTE DISPOSAL & RECYCLING,CO,1996,164.17793
143,12,FL,11,HIGHWAY VEHICLES,CO,1996,3823.98838
144,12,FL,12,OFF-HIGHWAY,CO,1996,1713.20677
145,12,FL,14,MISCELLANEOUS,CO,1996,196.6526
146,12,FL,15,WILDFIRES,CO,1996,NA
