,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
170,15,HI,8,SOLVENT UTILIZATION,SO2,1996,NA
171,15,HI,9,STORAGE & TRANSPORT,SO2,1996,1.06302
172,15,HI,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.00842
173,15,HI,11,HIGHWAY VEHICLES,SO2,1996,0.94633
174,15,HI,12,OFF-HIGHWAY,SO2,1996,2.0127
175,15,HI,14,MISCELLANEOUS,SO2,1996,0.00261
176,15,HI,15,WILDFIRES,SO2,1996,NA
177,15,HI,16,PRESCRIBED FIRES,SO2,1996,NA
178,16,ID,1,FUEL COMB. ELEC. UTIL.,SO2,1996,NA
179,16,ID,2,FUEL COMB. INDUSTRIAL,SO2,1996,7.45745
180,16,ID,3,FUEL COMB. OTHER,SO2,1996,2.91261
181,16,ID,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,16.0619
182,16,ID,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,NA
183,16,ID,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,4.94069
184,16,ID,8,SOLVENT UTILIZATION,SO2,1996,NA
185,16,ID,9,STORAGE & TRANSPORT,SO2,1996,NA
186,16,ID,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.0381
187,16,ID,11,HIGHWAY VEHICLES,SO2,1996,1.68984
188,16,ID,12,OFF-HIGHWAY,SO2,1996,2.27516
189,16,ID,14,MISCELLANEOUS,SO2,1996,3.43793
190,16,ID,15,WILDFIRES,SO2,1996,NA
191,16,ID,16,PRESCRIBED FIRES,SO2,1996,NA
192,17,IL,1,FUEL COMB. ELEC. UTIL.,SO2,1996,738.8129
193,17,IL,2,FUEL COMB. INDUSTRIAL,SO2,1996,138.23972
194,17,IL,3,FUEL COMB. OTHER,SO2,1996,40.48328
195,17,IL,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,15.28122
196,17,IL,5,METALS PROCESSING,SO2,1996,9.8108
197,17,IL,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,61.19122
198,17,IL,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,23.78946
199,17,IL,8,SOLVENT UTILIZATION,SO2,1996,0.09966
200,17,IL,9,STORAGE & TRANSPORT,SO2,1996,0.20222
201,17,IL,10,WASTE DISPOSAL & RECYCLING,SO2,1996,1.10559
202,17,IL,11,HIGHWAY VEHICLES,SO2,1996,11.46619
203,17,IL,12,OFF-HIGHWAY,SO2,1996,19.16126
204,17,IL,14,MISCELLANEOUS,SO2,1996,0.00538
205,17,IL,15,WILDFIRES,SO2,1996,NA
206,17,IL,16,PRESCRIBED FIRES,SO2,1996,NA
207,18,IN,1,FUEL COMB. ELEC. UTIL.,SO2,1996,941.85617
208,18,IN,2,FUEL COMB. INDUSTRIAL,SO2,1996,66.43744
209,18,IN,3,FUEL COMB. OTHER,SO2,1996,22.19096
210,18,IN,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,15.61213
211,18,IN,5,METALS PROCESSING,SO2,1996,10.809
212,18,IN,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,9.99129
213,18,IN,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,16.46784
214,18,IN,8,SOLVENT UTILIZATION,SO2,1996,NA
215,18,IN,9,STORAGE & TRANSPORT,SO2,1996,1.08329
216,18,IN,10,WASTE DISPOSAL & RECYCLING,SO2,1996,1.28517
217,18,IN,11,HIGHWAY VEHICLES,SO2,1996,8.31569
218,18,IN,12,OFF-HIGHWAY,SO2,1996,11.73341
219,18,IN,14,MISCELLANEOUS,SO2,1996,0.01144
220,18,IN,15,WILDFIRES,SO2,1996,NA
221,18,IN,16,PRESCRIBED FIRES,SO2,1996,NA
222,19,IA,1,FUEL COMB. ELEC. UTIL.,SO2,1996,158.55607
223,19,IA,2,FUEL COMB. INDUSTRIAL,SO2,1996,69.96019
224,19,IA,3,FUEL COMB. OTHER,SO2,1996,21.51235
225,19,IA,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,0.0157
226,19,IA,5,METALS PROCESSING,SO2,1996,0.0181
227,19,IA,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,NA
228,19,IA,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,6.50077
229,19,IA,8,SOLVENT UTILIZATION,SO2,1996,0.0001
230,19,IA,9,STORAGE & TRANSPORT,SO2,1996,NA
231,19,IA,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.47521
232,19,IA,11,HIGHWAY VEHICLES,SO2,1996,3.47566
233,19,IA,12,OFF-HIGHWAY,SO2,1996,8.30017
234,19,IA,14,MISCELLANEOUS,SO2,1996,0.00373
235,19,IA,15,WILDFIRES,SO2,1996,NA
236,19,IA,16,PRESCRIBED FIRES,SO2,1996,NA
237,20,KS,1,FUEL COMB. ELEC. UTIL.,SO2,1996,117.12577
238,20,KS,2,FUEL COMB. INDUSTRIAL,SO2,1996,4.84295
239,20,KS,3,FUEL COMB. OTHER,SO2,1996,1.34539
240,20,KS,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,2.28902
241,20,KS,5,METALS PROCESSING,SO2,1996,0.03664
242,20,KS,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,4.56777
243,20,KS,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,4.13468
244,20,KS,8,SOLVENT UTILIZATION,SO2,1996,0.00007
245,20,KS,9,STORAGE & TRANSPORT,SO2,1996,0.00818
246,20,KS,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.14159
247,20,KS,11,HIGHWAY VEHICLES,SO2,1996,3.27709
248,20,KS,12,OFF-HIGHWAY,SO2,1996,7.44529
249,20,KS,14,MISCELLANEOUS,SO2,1996,0.98574
250,20,KS,15,WILDFIRES,SO2,1996,NA
251,20,KS,16,PRESCRIBED FIRES,SO2,1996,NA
252,21,KY,1,FUEL COMB. ELEC. UTIL.,SO2,1996,643.80982
253,21,KY,2,FUEL COMB. INDUSTRIAL,SO2,1996,58.71547
254,21,KY,3,FUEL COMB. OTHER,SO2,1996,12.1737
255,21,KY,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,2.86247
256,21,KY,5,METALS PROCESSING,SO2,1996,8.91413
257,21,KY,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,6.29795
258,21,KY,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,3.49489
259,21,KY,8,SOLVENT UTILIZATION,SO2,1996,0.01589
260,21,KY,9,STORAGE & TRANSPORT,SO2,1996,NA
261,21,KY,10,WASTE DISPOSAL & RECYCLING,SO2,1996,1.26629
262,21,KY,11,HIGHWAY VEHICLES,SO2,1996,5.40174
263,21,KY,12,OFF-HIGHWAY,SO2,1996,11.72806
264,21,KY,14,MISCELLANEOUS,SO2,1996,0.02106
265,21,KY,15,WILDFIRES,SO2,1996,NA
266,21,KY,16,PRESCRIBED FIRES,SO2,1996,NA
267,22,LA,1,FUEL COMB. ELEC. UTIL.,SO2,1996,106.10843
268,22,LA,2,FUEL COMB. INDUSTRIAL,SO2,1996,127.11063
269,22,LA,3,FUEL COMB. OTHER,SO2,1996,4.80642
270,22,LA,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,64.69451
271,22,LA,5,METALS PROCESSING,SO2,1996,9.885
272,22,LA,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,26.2435
273,22,LA,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,13.9698
274,22,LA,8,SOLVENT UTILIZATION,SO2,1996,0.295
275,22,LA,9,STORAGE & TRANSPORT,SO2,1996,0.006
276,22,LA,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.65408
277,22,LA,11,HIGHWAY VEHICLES,SO2,1996,4.81736
278,22,LA,12,OFF-HIGHWAY,SO2,1996,33.75698
279,22,LA,14,MISCELLANEOUS,SO2,1996,0.07237
280,22,LA,15,WILDFIRES,SO2,1996,NA
281,22,LA,16,PRESCRIBED FIRES,SO2,1996,NA
282,23,ME,1,FUEL COMB. ELEC. UTIL.,SO2,1996,5.65193
283,23,ME,2,FUEL COMB. INDUSTRIAL,SO2,1996,19.51229
284,23,ME,3,FUEL COMB. OTHER,SO2,1996,14.85159
285,23,ME,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,NA
286,23,ME,5,METALS PROCESSING,SO2,1996,NA
287,23,ME,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,NA
288,23,ME,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,1.13462
289,23,ME,8,SOLVENT UTILIZATION,SO2,1996,0.00049
290,23,ME,9,STORAGE & TRANSPORT,SO2,1996,NA
291,23,ME,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.16984
292,23,ME,11,HIGHWAY VEHICLES,SO2,1996,1.69876
293,23,ME,12,OFF-HIGHWAY,SO2,1996,0.99138
294,23,ME,14,MISCELLANEOUS,SO2,1996,0.00261
295,23,ME,15,WILDFIRES,SO2,1996,NA
296,23,ME,16,PRESCRIBED FIRES,SO2,1996,NA
297,24,MD,1,FUEL COMB. ELEC. UTIL.,SO2,1996,252.27795
298,24,MD,2,FUEL COMB. INDUSTRIAL,SO2,1996,2.45636
299,24,MD,3,FUEL COMB. OTHER,SO2,1996,3.05091
300,24,MD,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,0.29287
301,24,MD,5,METALS PROCESSING,SO2,1996,11.32903
302,24,MD,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.0757
303,24,MD,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,5.0623
304,24,MD,8,SOLVENT UTILIZATION,SO2,1996,0.0035
305,24,MD,9,STORAGE & TRANSPORT,SO2,1996,0.0002
306,24,MD,10,WASTE DISPOSAL & RECYCLING,SO2,1996,1.34244
307,24,MD,11,HIGHWAY VEHICLES,SO2,1996,5.48344
308,24,MD,12,OFF-HIGHWAY,SO2,1996,4.95337
309,24,MD,14,MISCELLANEOUS,SO2,1996,0.00343
310,24,MD,15,WILDFIRES,SO2,1996,NA
311,24,MD,16,PRESCRIBED FIRES,SO2,1996,NA
312,25,MA,1,FUEL COMB. ELEC. UTIL.,SO2,1996,105.06929
313,25,MA,2,FUEL COMB. INDUSTRIAL,SO2,1996,45.26023
314,25,MA,3,FUEL COMB. OTHER,SO2,1996,35.74366
315,25,MA,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,0.00539
316,25,MA,5,METALS PROCESSING,SO2,1996,0.0104
317,25,MA,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.02111
318,25,MA,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,0.60533
319,25,MA,8,SOLVENT UTILIZATION,SO2,1996,0.23052
320,25,MA,9,STORAGE & TRANSPORT,SO2,1996,0.00034
321,25,MA,10,WASTE DISPOSAL & RECYCLING,SO2,1996,2.61135
322,25,MA,11,HIGHWAY VEHICLES,SO2,1996,5.72575
323,25,MA,12,OFF-HIGHWAY,SO2,1996,7.11602
324,25,MA,14,MISCELLANEOUS,SO2,1996,0.00225
325,25,MA,15,WILDFIRES,SO2,1996,NA
326,25,MA,16,PRESCRIBED FIRES,SO2,1996,NA
327,26,MI,1,FUEL COMB. ELEC. UTIL.,SO2,1996,384.81974
328,26,MI,2,FUEL COMB. INDUSTRIAL,SO2,1996,63.1664
329,26,MI,3,FUEL COMB. OTHER,SO2,1996,20.16563
330,26,MI,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,0.00621
331,26,MI,5,METALS PROCESSING,SO2,1996,7.61809
332,26,MI,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,6.29801
333,26,MI,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,27.63209
334,26,MI,8,SOLVENT UTILIZATION,SO2,1996,NA
