"","State Code","State","Tier 1 Code","pollutant","year","Sum"
"111","05","AR","12","OFF-HIGHWAY_CO",1996,"220.44218"
"112","05","AR","12","OFF-HIGHWAY_SO2",1996,"6.71684"
"113","05","AR","14","MISCELLANEOUS_CO",1996,"51.07551"
"114","05","AR","14","MISCELLANEOUS_SO2",1996,"0.0426"
"115","05","AR","15","WILDFIRES_CO",1996,NA
"116","05","AR","15","WILDFIRES_SO2",1996,NA
"117","05","AR","16","PRESCRIBED FIRES_CO",1996,NA
"118","05","AR","16","PRESCRIBED FIRES_SO2",1996,NA
"119","06","CA","01","FUEL COMB. ELEC. UTIL._CO",1996,"14.15909"
"120","06","CA","01","FUEL COMB. ELEC. UTIL._SO2",1996,"2.0038"
"121","06","CA","02","FUEL COMB. INDUSTRIAL_CO",1996,"60.33909"
"122","06","CA","02","FUEL COMB. INDUSTRIAL_SO2",1996,"16.92177"
"123","06","CA","03","FUEL COMB. OTHER_CO",1996,"151.34988"
"124","06","CA","03","FUEL COMB. OTHER_SO2",1996,"4.13153"
"125","06","CA","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"9.47131"
"126","06","CA","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"2.90278"
"127","06","CA","05","METALS PROCESSING_CO",1996,"0.49959"
"128","06","CA","05","METALS PROCESSING_SO2",1996,"0.11834"
"129","06","CA","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"5.112"
"130","06","CA","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"20.29655"
"131","06","CA","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"13.62246"
"132","06","CA","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"6.59129"
"133","06","CA","08","SOLVENT UTILIZATION_CO",1996,"0.08191"
"134","06","CA","08","SOLVENT UTILIZATION_SO2",1996,"0.00166"
"135","06","CA","09","STORAGE & TRANSPORT_CO",1996,"0.36855"
"136","06","CA","09","STORAGE & TRANSPORT_SO2",1996,"0.0668"
"137","06","CA","10","WASTE DISPOSAL & RECYCLING_CO",1996,"160.70977"
"138","06","CA","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.30924"
"139","06","CA","11","HIGHWAY VEHICLES_CO",1996,"6890.96906"
"140","06","CA","11","HIGHWAY VEHICLES_SO2",1996,"32.08319"
"141","06","CA","12","OFF-HIGHWAY_CO",1996,"2623.93853"
"142","06","CA","12","OFF-HIGHWAY_SO2",1996,"9.64971"
"143","06","CA","14","MISCELLANEOUS_CO",1996,"1088.67241"
"144","06","CA","14","MISCELLANEOUS_SO2",1996,"1.13973"
"145","06","CA","15","WILDFIRES_CO",1996,NA
"146","06","CA","15","WILDFIRES_SO2",1996,NA
"147","06","CA","16","PRESCRIBED FIRES_CO",1996,NA
"148","06","CA","16","PRESCRIBED FIRES_SO2",1996,NA
"149","08","CO","01","FUEL COMB. ELEC. UTIL._CO",1996,"7.84357"
"150","08","CO","01","FUEL COMB. ELEC. UTIL._SO2",1996,"92.74093"
"151","08","CO","02","FUEL COMB. INDUSTRIAL_CO",1996,"23.83845"
"152","08","CO","02","FUEL COMB. INDUSTRIAL_SO2",1996,"8.58616"
"153","08","CO","03","FUEL COMB. OTHER_CO",1996,"36.23909"
"154","08","CO","03","FUEL COMB. OTHER_SO2",1996,"2.39298"
"155","08","CO","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"0.00314"
"156","08","CO","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"1.08871"
